keyword,url,title,current_price,thumbnail_url
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP2NIZAFNAFAMZ-181072068&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple IPad (9th Gen, 64GB, Wi-Fi Only)10.2&Prime;","KSh 48,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/4490631/1.jpg?5445
ipad,https://www.jumia.co.ke/apple-magic-keyboard-folio-for-ipad-10th-generation-white-279444946.html,Apple Magic Keyboard Folio For IPad (10th Generation) – White,"KSh 39,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/9444972/1.jpg?8821
ipad,https://www.jumia.co.ke/generic-keyboard-leather-case-for-ipad-air-5-4-10.9-inch-178877755.html,Keyboard Leather Case For IPad Air 5 / 4 10.9 Inch,"KSh 3,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/7778871/1.jpg?5730
ipad,https://www.jumia.co.ke/generic-20v-3.25a-65w-4.01.7mm-adapter-for-lenovo-ideapad-330s-320-320s-s145-130-14ikb-laptop-charger-264219257.html,20V 3.25A 65W (4.0*1.7mm) adapter For Lenovo ideapad 330S 320 320S S145 130-14IkB Laptop Charger,"KSh 5,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/2912462/1.jpg?7082
ipad,https://www.jumia.co.ke/sq-hope-8-max-display-8-inches-ips-memory-32gb-hdd-2gb-ram-operating-system-android-11-249926413.html,"SQ Hope 8 max Display:  8 Inches  IPS Memory:  32GB HDD, 2GB RAM Operating system :  Android 11","KSh 10,300",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/4629942/1.jpg?8231
ipad,https://www.jumia.co.ke/apple-smart-keyboard-folio-for-ipad-air-4th-generation-and-ipad-pro-11-inch-279447203.html,Apple Smart Keyboard Folio for iPad Air (4th Generation) and iPad Pro 11-inch,"KSh 42,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/2744972/1.jpg?2356
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP2HKN8NNAFAMZ-181072067&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple IPad (9th Gen, 64GB, Wi-Fi Only) 10.2″","KSh 48,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/4490631/1.jpg?7674
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044EA3AUP7FNAFAMZ-201483853&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,Apple IPAD SMART KEYBOARD Folio,"KSh 48,500",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/6270351/1.jpg?9564
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP2Z69Q5NAFAMZ-180386426&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple 10.2"" IPad (9th Gen, 64GB, Wi-Fi Only,","KSh 88,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/0114531/1.jpg?1292
ipad,https://www.jumia.co.ke/apple-apple-pencil-2nd-generation-241701704.html,Apple Apple Pencil (2nd Generation),"KSh 21,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/7107142/1.jpg?1630
